endpoint,argument,class,definition,url
/columns,unit_id,integer,"integer, a valid unit id",https://macrostrat.org/api/columns
/columns,section_id,integer,"integer, a valid section id",https://macrostrat.org/api/columns
/columns,col_id,integer,"integer, a valid column id",https://macrostrat.org/api/columns
/columns,col_type,character,"string, a column type",https://macrostrat.org/api/columns
/columns,interval_name,character,"string, chronostratigraphic time interval name",https://macrostrat.org/api/columns
/columns,int_id,integer,"integer, a chronostratigraphic time interval ID from /defs/intervals",https://macrostrat.org/api/columns
/columns,age,numeric,numerical age in millions of years before present,https://macrostrat.org/api/columns
/columns,age_top,numeric,numerical age (Ma) - must be used with age_bottom and be less than age_bottom,https://macrostrat.org/api/columns
/columns,age_bottom,numeric,numerical age (Ma) - must be used with age_top and be greater than age_top,https://macrostrat.org/api/columns
/columns,lith_id,integer,"integer, ID of a lithology from /defs/lithologies",https://macrostrat.org/api/columns
/columns,lith,character,"string, specific lithology name (e.g., shale, sandstone)",https://macrostrat.org/api/columns
/columns,lith_type,character,"string, groups of lithologies (e.g., carbonate, siliciclastic)",https://macrostrat.org/api/columns
/columns,lith_class,character,"string, general lithologies (sedimentary, igneous, metamorphic)",https://macrostrat.org/api/columns
/columns,lith_att_id,integer,"integer, ID of a lithology attribute from /defs/lithology_attributes",https://macrostrat.org/api/columns
/columns,lith_att,character,"string, specific lithology attribute name (e.g. fine, olivine, poorly washed)",https://macrostrat.org/api/columns
/columns,lith_att_type,character,"string, specific category of lithology attribute (e.g. grains, lithology, bedform)",https://macrostrat.org/api/columns
/columns,environ_id,integer,"integer, specific environment ID from /defs/environments",https://macrostrat.org/api/columns
/columns,environ,character,"string, specific environment",https://macrostrat.org/api/columns
/columns,environ_type,character,"string, groups of environments",https://macrostrat.org/api/columns
/columns,environ_class,character,"string, general environments",https://macrostrat.org/api/columns
/columns,econ_id,integer,"integer, ID of an economic attribute from /defs/econs",https://macrostrat.org/api/columns
/columns,econ,character,"string, name of an economic attribute",https://macrostrat.org/api/columns
